source_id,ra,dec
4331211391139777280,248.96551075899626,-11.678085798869262
4331216579460212096,248.86939151988662,-11.743709204367653
4331204897149174144,248.91665458187353,-11.734879811090149
4331211356780038400,248.9781329710524,-11.678266193036688
4331216549395502592,248.8597043641877,-11.746056509910458
4331223691926117248,248.8591513956995,-11.672709027976284
4331216171438379904,248.84744216180124,-11.755810946178157
4331211562939397504,248.99239582654047,-11.650244056231399
4331211528578754688,248.9882719215892,-11.658131615543354
4331210497786516864,248.94512279953756,-11.749927541708853
4331211154917583872,248.99210744223828,-11.694995889588263
4331216858633173632,248.8467152592893,-11.71678185417318
4331224795733584256,248.9957182204019,-11.636730339344266
4331222940307712768,248.88189069859627,-11.683114809065149
4331217816410850304,248.8561653423123,-11.678890482302487
4331223146466306432,248.95762805406187,-11.67016222426449
4331222802868758656,248.91740825024377,-11.673534775478869
4331223451408873216,248.93880148643933,-11.63569374707649
4331204690991720704,248.93338257558415,-11.74833941496209
4331210708240749184,248.9577104114074,-11.724033019626718
4331223142170302848,248.94726850796962,-11.67424483290116
4331204828429690880,248.88810659328362,-11.744043072711921
4331216613819956352,248.8562898899555,-11.736728526808985
4331222626775150592,248.914888147648,-11.703802385500973
4331209913671953280,248.987607966223,-11.728499398180377
4331210497786519936,248.95938012196098,-11.747571299232417
4331210566505997440,248.9430413549166,-11.744420539973936
4331210639521069952,248.97828663318668,-11.727140946985818
4331209883606824192,248.97827558154708,-11.739030788666089
4331209810591755264,248.99139294244446,-11.742556324167317
4331210639521370624,248.9795581198846,-11.730041711434609
4331223795005351552,248.86982391722702,-11.655949726693942
4331216652476483840,248.87055945666708,-11.728253061303416
4331204897149166848,248.91609939670647,-11.744139024673034
4331204935804803840,248.89844467424533,-11.733040164693882
4331210605161633408,248.94699274688264,-11.726600231294336
4331204862789429120,248.91153921851668,-11.743608561483093
4331223932444329600,248.87987506073875,-11.634318606650293
4331204970164542720,248.90908374110685,-11.722484982980378
4331209913670977152,248.99347097457328,-11.73410929545615
4331223382688515072,248.963827794051,-11.635971781197535
4331224241681974528,248.91658328589304,-11.63426246901354
